model,input_width,input_height,param mem (MB),feature mem (MB),flops (GFLOPS),src,performance
alexnet,227,227,233,3,0.727,MCN,41.80 / 19.20
caffenet,224,224,233,3,0.724,MCN,42.60 / 19.70
squeezenet1-0,224,224,5,30,0.837,PT,41.90 / 19.58
squeezenet1-1,224,224,5,17,0.36,PT,41.81 / 19.38
vgg-f,224,224,232,4,0.727,MCN,41.40 / 19.10
vgg-m,224,224,393,12,2,MCN,36.90 / 15.50
vgg-s,224,224,393,12,3,MCN,37.00 / 15.80
vgg-m-2048,224,224,353,12,2,MCN,37.10 / 15.80
vgg-m-1024,224,224,333,12,2,MCN,37.80 / 16.10
vgg-m-128,224,224,315,12,2,MCN,40.80 / 18.40
vgg-vd-16-atrous,224,224,82,58,16,N/A,- / -
vgg-vd-16,224,224,528,58,16,MCN,28.50 / 9.90
vgg-vd-19,224,224,548,63,20,MCN,28.70 / 9.90
googlenet,224,224,51,26,2,MCN,34.20 / 12.90
resnet18,224,224,45,23,2,PT,30.24 / 10.92
resnet34,224,224,83,35,4,PT,26.70 / 8.58
resnet-50,224,224,98,103,4,MCN,24.60 / 7.70
resnet-101,224,224,170,155,8,MCN,23.40 / 7.00
resnet-152,224,224,230,219,11,MCN,23.00 / 6.70
resnext-50-32x4d,224,224,96,132,4,L1,22.60 / 6.49
resnext-101-32x4d,224,224,169,197,8,L1,21.55 / 5.93
resnext-101-64x4d,224,224,319,273,16,PT,20.81 / 5.66
inception-v3,299,299,91,89,6,PT,22.55 / 6.44
SE-ResNet-50,224,224,107,103,4,SE,22.37 / 6.36
SE-ResNet-101,224,224,189,155,8,SE,21.75 / 5.72
SE-ResNet-152,224,224,255,220,11,SE,21.34 / 5.54
SE-ResNeXt-50-32x4d,224,224,105,132,4,SE,20.97 / 5.54
SE-ResNeXt-101-32x4d,224,224,187,197,8,SE,19.81 / 4.96
SENet,224,224,440,347,21,SE,18.68 / 4.47
SE-BN-Inception,224,224,46,43,2,SE,23.62 / 7.04
densenet121,224,224,31,126,3,PT,25.35 / 7.83
densenet161,224,224,110,235,8,PT,22.35 / 6.20
densenet169,224,224,55,152,3,PT,24.00 / 7.00
densenet201,224,224,77,196,4,PT,22.80 / 6.43
mcn-mobilenet,224,224,16,38,0.579,AU,29.40 / -
